date,nov_load,ev_load,cov_load,orig_data
2021-09-07,1061600527959703.8,393037511405212.94,28033741556683.3,TRUE
2021-09-08,1196177704666163,374059668560830.7,31062807323451.027,NA
2021-09-09,1330754881372622.2,355081825716448.44,34091873090218.754,TRUE
2021-09-10,1556666944245881,413243698507876.5,29202574362018.4,TRUE
2021-09-11,1284088576602363.2,339941589524261.56,25933010337350.16,NA
2021-09-12,1011510208958845.5,266639480540646.62,22663446312681.92,TRUE
2021-09-13,962412141512774.5,235607119935394.4,19825202484651.402,NA
2021-09-14,913314074066703.5,204574759330142.2,16986958656620.88,TRUE
2021-09-15,1108530895998890.5,186329607616146.8,15436027835617.715,NA
2021-09-16,1303747717931077.5,168084455902151.4,13885097014614.549,TRUE
2021-09-17,1331281581894688.8,260615624127249.94,14756780741584.967,NA
2021-09-18,1358815445858300,353146792352348.44,15628464468555.385,TRUE
2021-09-19,1282746673494805.5,357309089224801.75,14392100468667.238,NA
2021-09-20,1206677901131310.8,361471386097255,13155736468779.09,NA
2021-09-21,1130609128767816.2,365633682969708.3,11919372468890.943,NA
2021-09-22,1054540356404321.6,369795979842161.6,10683008469002.797,TRUE
2021-09-23,1610980497320391.8,523601497041669.9,14103114588387.986,TRUE
2021-09-24,869957843944846.4,195137185299697.62,10379272026792.074,TRUE
2021-09-25,926734835371557.6,212061027906770.78,7213724441543.634,TRUE
2021-09-26,779459800595174.75,197197026641140.4,7335990440717.83,TRUE
2021-09-27,983604930420278.9,250120024173936.4,8717968803863.724,TRUE
2021-09-28,910411158313465.25,231399734046631,6912217086402.214,TRUE
2021-09-29,1040557656019118.9,262705972962574.94,12911167600172.318,TRUE
2021-09-30,795577492648410.5,156330692288398.34,13394163463841.514,TRUE
2021-10-01,964933765872721,244675394110722.47,9248658671300.434,TRUE
2021-10-02,845351712345955.9,267260496577676.25,11943416328811.56,TRUE
2021-10-03,806417980293733.4,232849090970134.72,6665459957369.673,TRUE
2021-10-04,1090604208844518.2,246149864314311.03,8113407858601.6,TRUE
2021-10-05,1527334777298579,225134806325481.47,11321549479831.703,TRUE
2021-10-06,858327567631546.9,142747158552886.72,10390893007852.598,TRUE
2021-10-07,675600914987751,118753719710122.05,7275125834543.899,TRUE
2021-10-08,1069814192524704,216135041649011.1,8350955099778.0625,TRUE
2021-10-09,1317180653714290,202324737729203.28,7112216841735.576,TRUE
2021-10-10,1473187519479630.5,92772231232338.77,7008127058016.5,TRUE
2021-10-11,1303984585069729,255663875055337.3,6904037274297.425,TRUE
2021-10-12,964062124363745.75,129167978585844.31,6799947490578.349,TRUE
2021-10-13,1282843905272198.8,130380827367890.98,17901413871283.29,TRUE
2021-10-14,1168668285638041.8,131778572672664.77,11468847918764.816,TRUE
2021-10-15,1445655132440894,221841663437490.3,9083800059583.889,TRUE
2021-10-16,879626202321123.5,169346281674216.72,10232070793490.822,TRUE
2021-10-17,1389843239641425.5,174335628457633.6,9604754628967.293,TRUE
2021-10-18,1272987834501647.2,128706539402541.19,10981552022344.393,TRUE
2021-10-19,1425865157099632.5,145601024036536,10348798003717.775,TRUE
2021-10-20,1774015890676822.5,201905483236098.38,8634182034109.734,TRUE
2021-10-21,1317278803462277,139263073549105.02,7480530900855.996,TRUE
2021-10-22,1076973966465753.8,136052516581873.42,9410874617642.31,TRUE
2021-10-23,1342519706881990.2,121357294058014.14,8503636977250.056,TRUE
2021-10-24,1520166204837705.2,136044015818696.44,19727342250429.363,TRUE
2021-10-25,1672942253758858,139055357163975.28,12633777525212.436,TRUE
2021-10-26,919690804469954.9,102326129863555.77,12100418135490.023,TRUE
2021-10-27,2121664981238554,254455181643019.94,16300691001700.465,TRUE
2021-10-28,1507943806364121,161431233277594.97,18578879626831.46,TRUE
2021-10-29,1611714648445556.2,203133642294065,24065474829104.656,TRUE
2021-10-30,1756900913224914.5,158410180573122.7,17433274189515.746,TRUE
2021-10-31,1937549574025306,121919393007064.02,10801073549926.834,TRUE
2021-11-01,1555315826106362.5,142514914316318.25,13511976959335.996,TRUE
2021-11-02,2027866958081278.8,279686813948306.34,14537457152665.775,TRUE
2021-11-03,2241591349678713.5,192436661936981.53,23833852248725.49,TRUE
2021-11-04,2704876250865577,164210325808628.94,32699830904326.24,TRUE
2021-11-05,1941552405107834.8,102904319855541.12,22581625350785.457,TRUE
2021-11-06,2590231218299038,293011676494600.06,22336102993064.98,TRUE
2021-11-07,3086011210479649.5,99114414526392.44,23258759036729.836,TRUE
